ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Brand

22693,simple,BSA-000115-C,,Industrial Coverstitch Sewing Machine Bias Attachment,1,0,visible,"The Coverstitch Industrial Sewing Machine Bias Attachment is a must-have tool for achieving professional finishes on garments. Perfect for adding bias binding to collars, armholes, necklines, and more, this attachment ensures clean, precise edges. It folds and binds fabric as you sew, giving you a 1/2-inch finished bias, ideal for enhancing the look of your knitwear, sleeves, and pockets. Simple to use, it’s perfect for creating neat, polished edges on various projects.","<p class="""" data-start=""0"" data-end=""484"">The Coverstitch Industrial Sewing Machine Bias Attachment is an essential tool for achieving clean, professional finishes on your sewing projects. Designed for use with industrial coverstitch machines, this attachment allows you to insert bias binding or tape along the edges of your garment, providing a polished, finished look. It’s ideal for use on collars, armholes, necklines, sleeve openings, bottoms of knitwear, pockets, and any project that requires neat, consistent binding.</p>
\n<p class="""" data-start=""486"" data-end=""877"">The attachment is easy to use. Simply place your fabric between the folded edges of the bias binder, start stitching, and the fabric will be automatically pulled in as you sew, creating a perfect bias finish of 1/2 inch. This tool helps save time, reduce mistakes, and achieve professional-quality results, making it an indispensable tool for both fashion designers and experienced sewists.</p>
\n<p class="""" data-start=""879"" data-end=""1295"">Whether you are finishing the edges of a dress, a top, or knitwear, the Coverstitch Bias Attachment ensures smooth, precise stitching every time. It's built for durability and efficiency, designed to handle long sewing sessions with ease. This versatile accessory enhances the functionality of your industrial sewing machine and elevates your garment production, making it a valuable addition to your sewing toolkit.</p>",,,taxable,,1,7,,0,0,0.14,,,,1,,17000,17500,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","bias attachment, bias binding, bias folder, bias foot, bias maker, bias tape maker",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9300.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9302.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9298.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9299.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9301.jpg",,,,,,,,,0,,

22694,simple,BSA-000116-C,,Sewing Machine Elastic Frame,1,0,visible,"The Elastic Attachment for Lockstitch Industrial Sewing Machines allows you to sew elastic smoothly and evenly into cuffs, waists, hems, and more. It easily attaches to your machine, ensuring precise, professional results for all your elastic sewing needs. Perfect for fashion designers and garment manufacturers.","<p class="""" data-start=""0"" data-end=""404"">The Elastic Attachment for Lockstitch Industrial Sewing Machines is designed to enhance your sewing experience by allowing you to sew elastic smoothly and evenly into cuffs, waists, hems, and other areas of your garment. This attachment easily connects to your regular lockstitch straight industrial sewing machine, providing the perfect solution for incorporating elastic with precision and consistency.</p>
\n<p class="""" data-start=""406"" data-end=""676"">Whether you're working with stretchy fabrics or creating garments that require elastic, this attachment helps you achieve flawless results every time. The device ensures the elastic is sewn neatly and securely, reducing the chances of uneven tension or stitching errors.</p>
\n<p class="""" data-start=""678"" data-end=""983"">Ideal for fashion designers, garment manufacturers, and home sewists, this accessory makes it easier to add elastic to various parts of your garments, such as waistbands, sleeve cuffs, and hems. With this attachment, you can streamline your production process while achieving professional-quality results.</p>",,,taxable,,1,10,,0,0,0.3,,,,1,,29000,30000,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","elastic, elastic foot, elastic frame, sewing machine foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/download-11.jpeg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61-HWkpAHRL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61C3MgYhL._AC_SL1500_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/images-21.jpeg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61CpXLfE3uL._AC_SL1500_.jpg",,,,,,,,,0,,

22735,simple,BSA-000117-C,,Gravity Steam Iron Thermostat Set,1,0,visible,"The thermostat for electric irons ensures optimal temperature control, preventing overheating and energy wastage. It provides precise temperature settings, ensuring smooth, wrinkle-free ironing on various fabrics. Easy to install, it helps enhance your ironing experience and safety.","<p class="""" data-start=""0"" data-end=""479"">The thermostat for electric irons is an essential component designed to regulate the temperature, ensuring the iron does not overheat when left unattended. When electricity passes through the coil of the iron, the heating element gets hot, and this heat is transferred to the iron’s base plate. However, without regulation, the heating element continues to get hotter as long as electricity is drawn, leading to energy wastage, potential damage to fabrics, and even fire hazards.</p>
\n<p class="""" data-start=""481"" data-end=""779"">This is where the thermostat comes in. It effectively prevents the iron from reaching dangerously high temperatures, promoting safety and energy efficiency. The thermostat is designed to maintain the ideal temperature for various fabrics, providing consistent heat for smooth, wrinkle-free ironing.</p>
\n<p class="""" data-start=""781"" data-end=""1046"">With precise temperature control, it allows you to set the perfect heat level for your fabrics, preventing scorching or burning. Whether you’re ironing delicate fabrics or heavy-duty linens, the thermostat ensures that your iron delivers optimal results every time.</p>
\n<p class="""" data-start=""1048"" data-end=""1065""><strong data-start=""1048"" data-end=""1064"">Key Features</strong>:</p>
\n
\n<ul data-start=""1066"" data-end=""1431"">
\n 	<li class="""" data-start=""1066"" data-end=""1196"">
\n<p class="""" data-start=""1068"" data-end=""1196""><strong data-start=""1068"" data-end=""1099"">Precise Temperature Control</strong>: Set and maintain the ideal temperature for different fabrics, ensuring perfect ironing results.</p>
\n</li>
\n 	<li class="""" data-start=""1197"" data-end=""1306"">
\n<p class="""" data-start=""1199"" data-end=""1306""><strong data-start=""1199"" data-end=""1231"">Safety and Energy Efficiency</strong>: Prevents overheating, protecting fabrics and reducing energy consumption.</p>
\n</li>
\n 	<li class="""" data-start=""1307"" data-end=""1431"">
\n<p class="""" data-start=""1309"" data-end=""1431""><strong data-start=""1309"" data-end=""1330"">Easy Installation</strong>: Simple to install, allowing for quick upgrades to your iron, enhancing both safety and performance.</p>
\n</li>
\n</ul>
\n<p class="""" data-start=""1433"" data-end=""1557"">This thermostat is an essential upgrade to ensure the longevity of your iron while providing safe and efficient performance.</p>",,,taxable,,1,30,,0,0,0.07,,,,1,,22000,23000,Pressing Iron & Steamers,"hanging bottle iron, industrial iron, pressing iron, steam iron, thermostat",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/download-6.jpeg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/611MdOsK4L._SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61eZmRRsGeL._SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN018jOgh81pvKKtUkHeY_4039625422-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01c3ozpc1pvKKtZsRKA_4039625422-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01ssyF381pvKKqFykY9_4039625422-0-cib.jpg",,,,,,,,,0,,

22736,simple,BSA-000118-C,,Spring Elastic Threader,1,0,visible,"The Spring Drawstring Threader is a durable metal tool designed to easily thread elastic ribbons, drawstrings, and cords without damaging fabrics. Lightweight and compact, it’s perfect for on-the-go use and simplifies sewing tasks by reducing time and effort. Ideal for both beginners and experienced sewers.","<p class="""" data-start=""32"" data-end=""295"">This spring drawstring threader is crafted from durable metal, ensuring long-lasting reliability even with repeated bending and wear. Its lightweight and compact design makes it an ideal tool for on-the-go use, fitting easily into pockets or bags for convenience.</p>
\n<p class="""" data-start=""297"" data-end=""577"">Designed with a round head to prevent damage to fabrics, this threader is perfect for threading elastic ribbons, drawstrings, cords, and other materials without harming your clothing or fabrics. It's a versatile tool that simplifies common threading challenges in sewing projects.</p>
\n<p class="""" data-start=""579"" data-end=""596""><strong data-start=""579"" data-end=""596"">Key Features:</strong></p>
\n
\n<ul data-start=""597"" data-end=""1186"">
\n 	<li class="""" data-start=""597"" data-end=""699"">
\n<p class="""" data-start=""599"" data-end=""699""><strong data-start=""599"" data-end=""621"">Durable &amp; Reliable</strong>: Made from metal, this tool withstands bending and wear, ensuring durability.</p>
\n</li>
\n 	<li class="""" data-start=""700"" data-end=""809"">
\n<p class="""" data-start=""702"" data-end=""809""><strong data-start=""702"" data-end=""723"">Gentle on Fabrics</strong>: The round head design prevents damage to your clothing and fabrics during threading.</p>
\n</li>
\n 	<li class="""" data-start=""810"" data-end=""939"">
\n<p class="""" data-start=""812"" data-end=""939""><strong data-start=""812"" data-end=""827"">Time-Saving</strong>: Effortlessly threads elastic ribbons, drawstrings, and cords, reducing the time and effort spent on threading.</p>
\n</li>
\n 	<li class="""" data-start=""940"" data-end=""1047"">
\n<p class="""" data-start=""942"" data-end=""1047""><strong data-start=""942"" data-end=""964"">Portable &amp; Compact</strong>: Lightweight design for easy portability, fitting conveniently in pockets or bags.</p>
\n</li>
\n 	<li class="""" data-start=""1048"" data-end=""1186"">
\n<p class="""" data-start=""1050"" data-end=""1186""><strong data-start=""1050"" data-end=""1065"">Easy to Use</strong>: Suitable for both beginners and experienced sewers, with simple operation and clear instructions for various materials.</p>
\n</li>
\n</ul>
\n<p class="""" data-start=""1188"" data-end=""1363"">Streamline your sewing tasks and enhance productivity with this practical, efficient threader. Ideal for everyday sewing projects, it ensures a smooth, stress-free experience.</p>",,,taxable,,1,90,,0,0,0.16,,,,1,,4000,4500,Others,"elastic threader, elastics",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01H1UYIF1uu1Q1pbyrQ_2218557666096-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01PkR9Xm1uu1Pwio8Qm_2218557666096-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01H7W7RU1IENzsZJH4V_2218484640861-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01RLUdXw1v2iuxcJX49_2217710896115-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/615CJj3zSrL._AC_SX679_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71hTv8-4ML._AC_SX679_.jpg",,,,,,,,,0,,

22737,simple,BSA-000119-C,,Stainless Steel Gravity Base Rest Pad,1,0,visible,"The Metal Iron Rest is designed to protect your surfaces while you adjust your ironing tasks. Made of metal and silicone, it safely holds your hot iron, preventing damage to ironing boards and surfaces. It also helps avoid scratches on the iron and protects from high temperatures. Ideal for short-term use while ironing, with a size of approximately 8.27 x 5.51 inches.","<p class="""" data-start=""0"" data-end=""313"">The Metal Iron Rest is a practical and durable accessory designed to protect both your ironing surfaces and your iron. Constructed from a combination of metal and silicone, this rest provides a stable and heat-resistant place to temporarily set your iron while you adjust your fabric or re-position your project.</p>
\n<p class="""" data-start=""315"" data-end=""588"">It helps to prevent damage to your ironing board cover and ensures the iron stays safely in place, reducing the risk of it falling off the board. This rest also safeguards your surfaces from burns or scorch marks, making it an essential tool for any sewing or ironing task.</p>
\n<p class="""" data-start=""590"" data-end=""906"">The Metal Iron Rest is specifically designed for short-term use while ironing. It is not meant to leave the iron resting on it for extended periods. With its simple and efficient design, it provides peace of mind by preventing scratches on the iron's surface and protecting the surrounding areas from excessive heat.</p>
\n<p class="""" data-start=""908"" data-end=""1220"">Measuring approximately 8.27 x 5.51 inches (21 x 14 cm), it is compact enough to fit conveniently on your ironing board while being sturdy enough to handle the heat. Its combination of metal and silicone materials ensures durability and longevity, making it a reliable addition to your sewing or ironing routine.</p>",,,taxable,,1,10,,0,0,0.25,,,,1,,19000,19500,Pressing Iron & Steamers,"hanging bottle iron, industrial iron, pressing iron, Resting pad, steam iron",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9289.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9296.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9295.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9294.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9293.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9292.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9291.jpg",,,,,,,,,0,,

22738,simple,BSA-000120-C,,Blue Silicon Gravity Iron Base Rest Pad,1,0,visible,"The 1PCS Silicone Iron Rest is a heat-resistant, durable rest designed to keep your iron safe while adjusting or resting. Featuring a silicone-coated exterior and hard steel interior, it prevents slipping and protects surfaces from heat damage. Sized at 224mm x 149mm, it’s perfect for secure, safe iron placement.","<p class="""" data-start=""0"" data-end=""274"">The 1PCS Silicone Iron Rest is designed to provide a secure, heat-resistant surface for your iron, keeping it safe while you're adjusting or working on your sewing projects. Measuring 224mm in length and 149mm in width, this rest is perfectly sized to accommodate your iron.</p>
\n<p class="""" data-start=""276"" data-end=""626"">The rest features a combination of durable, hard steel inside and a heat-resistant silicone coating on the outside, ensuring both sturdiness and heat resistance. The hard steel ensures the rest does not bend, providing long-lasting stability. Two raised areas on the rest offer extra safety by preventing your iron from slipping off while not in use.</p>
\n<p class="""" data-start=""628"" data-end=""932"">Designed to withstand the high heat of irons, this rest can be placed on any flat surface, making it a versatile and reliable addition to your ironing station. Its sturdy construction and silicone coating protect your surfaces from heat damage, making it an essential tool for any sewing or ironing task.</p>",,,taxable,,1,10,,0,0,0.3,,,,1,,16000,16500,Pressing Iron & Steamers,"hanging bottle iron, industrial iron, pressing iron, Resting pad, steam iron",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9269.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9280.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9279.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9275.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9272.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9270.jpg",,,,,,,,,0,,

22739,simple,BSA-000121-C,,Black Gravity Iron Base Rest Pad,1,0,visible,"The Iron Rest is designed to safely hold your iron while you adjust your garments. This heat-resistant rest prevents your iron from falling off the board, protecting surfaces from heat damage. Ideal for use on ironing boards, tables, or counters, it helps prevent burn spots and scratches on both your ironing board and iron. This practical accessory ensures your iron remains safely in place, providing a secure and heat-resistant surface during ironing.","<span class=""a-list-item"">It was made to rest your iron on while you adjust what ever you are ironing, it is not for leaving the iron on it for a long time. It is just an iron rest and protects iron and surface. It keeps surfaces safe from the heat and iron safe from falling. Useful thing for resting the iron during ironing.</span>
\n
\n<span class=""a-list-item"">An iron rest but it does help to protect ironing board cover, safe place for the iron. It protects ironing board cover and do not worry about the iron falling off the ironing board. Safe for use on ironing boards, tables or counters. Heat resistant, this Iron Rest Mat protects surfaces from hot iron</span>
\n
\n<span class=""a-list-item"">It holds a hot iron and protects craft table, good iron rest for sewing table. It solves problem of Iron falling off ironing board. It keeps ironing boards, tables or counters safe with this protective iron rest</span>
\n
\n<span class=""a-list-item"">This good for preventing burn spots on ironing board and avoiding scratches on iron surface, protects the ironing board and protects surfaces from a hot iron</span>",,,taxable,,1,8,,0,0,0.12,,,,1,,9500,10000,Pressing Iron & Steamers,"hanging bottle iron, industrial iron, pressing iron, Resting pad, steam iron",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9287.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9288.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9286.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9284.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9282.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9281.jpg",,,,,,,,,0,,

22821,simple,BSA-000122-C,,Sewing Thread Lubricating Oil Box,1,0,visible,"The Thread Lubricator Box helps prevent thread breaks, skipped stitches, snagging, static electricity, and heat build-up during sewing and embroidery. It is particularly useful when working with sticky or rubberized materials, ensuring smooth, uninterrupted stitching for optimal results. This tool enhances the performance of your sewing machine, making it easier to handle challenging fabrics.","<p class="""" data-start=""0"" data-end=""300"">The Thread Lubricator Box is an essential tool designed to improve the efficiency and quality of your sewing and embroidery projects. By providing a steady flow of lubrication to your thread, it helps prevent common sewing issues such as thread breaks, skipped stitches, snagging, and heat build-up.</p>
\n<p class="""" data-start=""302"" data-end=""615"">This tool is especially beneficial when sewing with difficult materials like sticky fabrics, rubberized items, or any other challenging textiles that may cause friction. The lubricator ensures a smoother sewing experience, reducing the likelihood of thread snarls or machine malfunctions due to thread resistance.</p>
\n<p class="""" data-start=""617"" data-end=""935"">Additionally, the lubricator minimizes the build-up of static electricity, which can lead to tangling and thread breakage, making it perfect for both regular and specialty sewing tasks. It ensures that your machine runs smoothly, helping to maintain optimal sewing performance and achieve professional-quality results.</p>
\n<p class="""" data-start=""937"" data-end=""1247"">Whether you are working on delicate fabrics, leather, or stretch materials, the Thread Lubricator Box will enhance your sewing experience by keeping the thread in top condition, preventing the frustration of frequent disruptions. Keep your sewing projects flowing smoothly with this reliable, easy-to-use tool.</p>",,,taxable,,1,60,,0,0,0.02,,,,1,,5000,5500,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots, Threads","thread oiler, threads",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01zUv1ba1okVSp91Lwd_2214458115263-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/41h87pqV7L._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01643fQN1okVSp3sGbE_2214458115263-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01yEHa1C1nDhU1xZQMg_2218279225056-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN017h74JE1nDhU3ZuJCm_2218279225056-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01UGJEWG1nDhU0RHjZU_2218279225056-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01MhCLN91nDhTycGRez_2218279225056-0-cib.jpg",,,,,,,,,0,,

22822,simple,BSA-000123-C,,Fishbone Hemming Tape,1,0,visible,"<strong data-start=""0"" data-end=""25"" data-is-only-node="""">Fishbone Hemming Tape</strong> is perfect for hemming delicate fabrics like chiffon and wedding dresses. It provides a clean, professional finish on thin, hard-to-curl materials. Each roll contains 5 yards of tape.","<p class="""" data-start=""0"" data-end=""253""><strong data-start=""0"" data-end=""25"">Fishbone Hemming Tape</strong> is specifically designed for hemming thin, delicate fabrics like chiffon, tulle, and wedding dresses that are challenging to curl. This tape helps create a clean, professional finish without the need for complicated techniques.</p>
\n
\n<ul data-start=""255"" data-end=""588"">
\n 	<li class="""" data-start=""255"" data-end=""382"">
\n<p class="""" data-start=""257"" data-end=""382""><strong data-start=""257"" data-end=""289"">Perfect for Delicate Fabrics</strong>: Ideal for use on lightweight materials that are difficult to hem using traditional methods.</p>
\n</li>
\n 	<li class="""" data-start=""383"" data-end=""488"">
\n<p class="""" data-start=""385"" data-end=""488""><strong data-start=""385"" data-end=""402"">Easy to Apply</strong>: Simply place the tape along the hem and press it in place for a secure, neat finish.</p>
\n</li>
\n 	<li class="""" data-start=""489"" data-end=""588"">
\n<p class="""" data-start=""491"" data-end=""588""><strong data-start=""491"" data-end=""512"">Convenient Length</strong>: Each roll contains 5 yards, offering plenty of tape for multiple projects.</p>
\n</li>
\n</ul>
\n<p class="""" data-start=""590"" data-end=""705"">With this versatile hemming tape, you can achieve beautiful, precise hems on your most delicate garments with ease.</p>",,,taxable,,1,25,,0,0,0.04,,,,1,,10500,11000,Others,"handkerchief hemming, hemming",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71mVPwKFc5L._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71w-oGxRBlL._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71ZuLoEKbOL._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71AEsYZLegL._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/714TrGvh33L._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/61X6qBsPRRL._AC_SX569_.jpg",,,,,,,,,0,,

22823,simple,BSA-000124-C,,ST-530 Teflon Cover for Infusion Double Chamber Gravity Steam Iron,1,0,visible,"<strong data-start=""0"" data-end=""74"" data-is-only-node="""">Teflon Protective Cover for Infusion Double Chamber Gravity Steam Iron</strong> prevents scorching, sticking, and shine on all fabrics. Suitable for tough cottons, delicate silks, synthetics, and even leathers, it works at the preferred temperature without needing a press cloth. Made from premium non-stick laminate, it ensures a smooth, effortless ironing experience, repelling starch, fusible interfacing, and fusible web.","<p class="""" data-start=""0"" data-end=""481"">The <strong data-start=""4"" data-end=""78"">Teflon Protective Cover for Infusion Double Chamber Gravity Steam Iron</strong> is designed to protect your fabrics and iron by preventing scorching, sticking, and shine. This versatile cover can be used on a wide range of materials, from the toughest cottons and linens to delicate silks, satins, synthetics, and even leathers. You can achieve the perfect press at your preferred temperature setting, without needing a press cloth, and without worrying about damage to your fabric.</p>
\n<p class="""" data-start=""483"" data-end=""966"">Made from <strong data-start=""493"" data-end=""531"">Top Hat Premium Non-Stick Laminate</strong>, the surface is super-slick, preventing any sticky residue, even from spray starch, fusible interfacing, or fusible web. This ensures that your fabrics glide effortlessly under the iron, and your iron remains free from build-up, extending its life and performance. Whether you’re working with intricate garments or heavy-duty fabrics, this protective cover offers a reliable solution to maintain your work and protect your investment.</p>",,,taxable,,1,24,,0,0,0.2,,,,1,,13000,13500,Pressing Iron & Steamers,"hanging bottle iron, industrial iron, pressing iron, scotch protector, steam iron, teflon cover",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/81gRVQLi9wL._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71UYSnKQ9L._AC_SX569_.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/71aqXhD-iML._AC_SX569_.jpg",,,,,,,,,0,,

22824,simple,BSA-000125-C,,Industrial Sewing Machine Knee Protection Pad,1,0,visible,"The <strong data-start=""4"" data-end=""22"">Round Knee Pad</strong> (also known as a knee lifter cover) is designed to protect your knees while sewing, providing added comfort during long hours of work. Made from a soft rubber and foam combination, it offers cushioning that reduces pressure on your knees, ensuring a more comfortable sewing experience. This knee pad is compatible with almost all industrial sewing machines that use a round knee lifter pad, making it a versatile and essential accessory for any professional seamstress or tailor.","<p class="""" data-start=""0"" data-end=""490"">The <strong data-start=""4"" data-end=""22"">Round Knee Pad</strong>, also known as a knee lifter cover, is a must-have accessory for any industrial sewing machine user. Designed to provide comfort and protect your knees during long sewing sessions, this pad is made of high-quality soft rubber and foam material that delivers extra cushioning. It helps alleviate the strain and discomfort that can come from pressing your knee against the machine while operating the knee lifter, allowing you to work for extended periods without pain.</p>
\n<p class="""" data-start=""492"" data-end=""881"">The round design ensures compatibility with nearly all industrial sewing machines that use a round knee lifter. It is easy to install and fits securely, offering a practical solution for enhancing comfort in your sewing workspace. Whether you're working with heavy fabrics or intricate designs, this knee pad ensures your knees are well-protected, so you can focus on your craft with ease.</p>
\n<p class="""" data-start=""883"" data-end=""1197"">Ideal for professionals who spend long hours at their sewing machines, this knee pad not only adds comfort but also prolongs the life of the knee lifter mechanism by providing a protective layer. It's a simple yet effective way to improve your sewing experience and maintain better posture throughout your workday.</p>",,,taxable,,1,40,,0,0,0.07,,,,1,,8500,9000,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","industrial sewing machine, knee pad, protection pad",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01xfElp01pvKVJFIiar_4039625422-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01fQNKnn1wY9lMHWIyb_3329426319-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN012Ipdoa2LFFnkT6g5k_2218222459662-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01jWJbHa1pvKVNHBVJn_4039625422-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01CjWAjY1pvKVLQjAiV_4039625422-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01Co33B91pvKVMm750T_4039625422-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN01lJNB101xgEKVjvudy_2214986996472-0-cib.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/O1CN016cE0Kj2H940WwQZYn_995519107-0-cib.jpg",,,,,,,,,0,,

22825,simple,BSA-000126-C,,Industrial Gold Handkerchief Hemming Foot,1,0,visible,"This 1/8"" Handkerchief Hemming Foot creates neat, narrow rolled hems on lightweight fabrics like chiffon, voile, and lawn—perfect for finishing handkerchiefs, ruffles, and lingerie with a professional touch.","<p class="""" data-start=""23"" data-end=""387"">The <strong data-start=""27"" data-end=""56"">Handkerchief Hemming Foot</strong>, also known as a <strong data-start=""74"" data-end=""101"">Rolled Hem Presser Foot</strong>, is a specialized sewing machine accessory designed to create clean, narrow, and even rolled hems on fabric edges. This foot expertly folds the raw edge of the fabric under itself while simultaneously stitching it down, resulting in a polished, professional finish with minimal effort.</p>
\n<p class="""" data-start=""389"" data-end=""733"">Perfect for lightweight to medium-weight fabrics such as <strong data-start=""446"" data-end=""489"">chiffon, lawn, voile, silk, and organza</strong>, this hemming foot is ideal for crafting delicate pieces like <strong data-start=""552"" data-end=""615"">handkerchiefs, ruffles, scarves, baby clothes, and lingerie</strong>. It’s a go-to tool for both home sewists and professionals who need consistent, fine hems on sheer or soft materials.</p>
\n<p class="""" data-start=""735"" data-end=""1028"">This particular foot creates a <strong data-start=""766"" data-end=""791"">1/8"" (3mm) rolled hem</strong>, making it an excellent choice for projects requiring a subtle, refined edge. Whether you're finishing garments or adding elegant details to your sewing projects, the handkerchief hemming foot saves time and elevates your craftsmanship.</p>
\n<p class="""" data-start=""1030"" data-end=""1265"">Compatible with most industrial sewing machines, it’s easy to install and use—even for beginners. If you're looking to achieve high-quality, store-bought-looking hems on delicate fabrics, this is the foot you need in your sewing toolkit.</p>",,,taxable,,1,37,,0,0,0.03,,,,1,,12000,12500,"Sewing Machine Foots > Industrial Sewing Machine Foots & Attachments, Sewing Machine Foots","handkerchief hemming, hemm, hemming, hemming foot",,"https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9335.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9336.jpg, https://bavicsewingaccessories.com.ng/wp-content/uploads/2025/04/IMG_9337.jpg",,,,,,,,,0,,
